LULC_Type,NDVI,EVI,GNDVI,NDWI,NDMI
Urban/Built-up,0.12304004320298716,0.10404219481110387,0.04710225718862153,-0.34077223871320944,-0.26552776023319175
Cropland,0.3967450043003708,0.6054278488113237,0.17585719231668626,-0.2845553420556581,0.10679321735247999
Open Forest,0.523240503674942,0.5222278330793606,0.5379275733846047,0.05685271184750536,0.2699625409584847
Cropland,0.6166763021255259,0.41998971272735874,0.6398347658136153,0.2683156265883201,0.014971549786875975
Cropland,0.24765316081183983,0.39289864177875944,0.35920838748556483,0.21251670177383164,0.03828419223486644
Urban/Built-up,0.014723885648001117,0.14693933322718788,0.06245719929188632,-0.28088455539239876,0.03728127071058229
Dense Forest,0.8908662838988742,0.7103408184041284,0.8157839406603187,-0.2150436847221659,0.1885882165782926
Cropland,0.31222251666955314,0.5018280007778859,0.33089851918291063,-0.16403957914372672,0.1547417110516946
Urban/Built-up,-0.18662304113710618,0.07538055996413107,0.13038393268218063,-0.28489238376402276,-0.20496319378360583
Dense Forest,0.7418406372435558,0.7060690469651528,0.6606770119329947,0.0015759023143277952,0.491672662421738
Shrubland,0.3762981843351619,0.3350207468101446,0.3247103346623269,-0.03912336411462343,0.2409050893429126
Bare Soil,-0.006594508198977413,-0.104286607046098,-0.04647316828572037,-0.31502944094315594,-0.31792355465860617
Cropland,0.3007671639846254,0.45915041444649907,0.29447075014154656,-0.17654277019762024,0.21139959049761595
Cropland,0.7499160744485648,0.6402716255930919,0.29869017565034023,-0.00880834857084297,0.3390492352077989
Grassland,0.56490736829682,0.28409470040987606,0.41312103669508227,-0.057061489975455765,0.11937264325675316
Urban/Built-up,0.12097698192399824,0.016391628952798484,-0.025329768968837867,-0.0803533852734423,-0.058516310773705005
Dense Forest,0.8237988661656986,0.5914666370888287,0.7461617445304543,-0.37809308237784334,0.23887166985233435
Snow/Ice,-0.3294745617871457,-0.024778756594108012,-0.17081564174371025,-0.33050616784635756,-0.4945270770406927
Urban/Built-up,0.22178435691031445,-0.08572213330564403,0.04193468273551493,-0.13400896678633645,0.027501320139457285
Water Bodies,-0.09500266004151783,-0.055864422217969785,-0.2034905569416962,0.7206495521330827,-0.29677258374584375
Snow/Ice,-0.18900091372791972,-0.14523031929182237,-0.23310313461517274,-0.6528867865619052,-0.26837908739279026
Open Forest,0.6345906796739991,0.5015769860001008,0.5082907405137398,-0.055651287547923554,0.4453556754943838
Cropland,0.38877000793824695,0.45400338592183154,0.43074952782544895,-0.12061290690302598,-0.07932659080986634
Wetland,0.7103733854309542,0.3230148293152335,0.26113268693876884,0.10957070477321589,0.5644526564120798
Cropland,0.7824937580573093,0.14248162959560018,0.6127917582742173,0.1611627638031182,-0.040025421044996665
